Position,PlayerName,Team,Opponent,Salary,PPG
FLEX,David Wilson,Giants,Chiefs,7400,1.2
RB,Doug Martin,Buccaneers,Cardinals,14450,13.2
FLEX,Doug Martin,Buccaneers,Cardinals,14450,13.2
RB,Ronnie Hillman,Broncos,Eagles,8650,7.1
FLEX,Ronnie Hillman,Broncos,Eagles,8650,7.1
RB,Bernard Pierce,Ravens,Bills,10250,10.0
FLEX,Bernard Pierce,Ravens,Bills,10250,10.0
RB,Lamar Miller,Dolphins,Saints,8100,8.3
FLEX,Lamar Miller,Dolphins,Saints,8100,8.3
RB,Alfred Morris,Redskins,Raiders,12350,12.6
FLEX,Alfred Morris,Redskins,Raiders,12350,12.6
RB,Bryce Brown,Eagles,Broncos,5000,1.9
FLEX,Bryce Brown,Eagles,Broncos,5000,1.9
RB,Brandon Bolden,Patriots,Falcons,6700,15.0
FLEX,Brandon Bolden,Patriots,Falcons,6700,15.0
RB,Bobby Rainey,Browns,Bengals,5000,1.0
FLEX,Bobby Rainey,Browns,Bengals,5000,1.0
RB,Giovani Bernard,Bengals,Browns,10550,14.5
FLEX,Giovani Bernard,Bengals,Browns,10550,14.5
RB,Le'Veon Bell,Steelers,Vikings,8500,0.0
FLEX,Le'Veon Bell,Steelers,Vikings,8500,0.0
RB,Montee Ball,Broncos,Eagles,9600,3.5
FLEX,Montee Ball,Broncos,Eagles,9600,3.5
RB,Andre Ellington,Cardinals,Buccaneers,5000,8.3
FLEX,Andre Ellington,Cardinals,Buccaneers,5000,8.3
TE,Tony Gonzalez,Falcons,Patriots,8700,8.8
FLEX,Tony Gonzalez,Falcons,Patriots,8700,8.8
TE,Scott Chandler,Bills,Ravens,6350,10.2
FLEX,Scott Chandler,Bills,Ravens,6350,10.2
TE,Jermaine Gresham,Bengals,Browns,6950,8.6
FLEX,Jermaine Gresham,Bengals,Browns,6950,8.6
TE,Jordan Cameron,Browns,Bengals,12600,23.6
FLEX,Jordan Cameron,Browns,Bengals,12600,23.6
TE,Benjamin Watson,Saints,Dolphins,5900,4.2
FLEX,Benjamin Watson,Saints,Dolphins,5900,4.2
TE,Martellus Bennett,Bears,Lions,8850,14.5
FLEX,Martellus Bennett,Bears,Lions,8850,14.5
TE,Jason Witten,Cowboys,Chargers,10450,14.3
FLEX,Jason Witten,Cowboys,Chargers,10450,14.3
TE,Julius Thomas,Broncos,Eagles,11150,19.1
FLEX,Julius Thomas,Broncos,Eagles,11150,19.1
TE,Brandon Pettigrew,Lions,Bears,5000,2.3
