gsis_id	name	position	games_played	avg_points	stddev_points
00-0026796	Arian Foster	RB	30	20.673333	8.135024
00-0028565	Armando Allen	RB	12	2.233333	3.293259
00-0027692	Armanti Edwards	WR	25	0.721600	1.874203
00-0028400	Armon Binns	WR	7	7.957143	3.791290
00-0028706	Armond Smith	RB	6	0.033333	0.074536
00-0027654	Arrelious Benn	WR	22	4.527273	4.521683
00-0027092	Austin Collie	WR	15	7.533333	5.467317
00-0028016	Austin Pettis	WR	26	5.257692	3.409057
00-0028170	Baron Batch	RB	8	2.250000	3.185122
00-0027007	Beanie Wells	RB	22	10.486364	9.041837
00-0026931	Bear Pascoe	TE	12	3.258333	1.630163
00-0022847	Ben Hartsock	TE	4	1.250000	1.436141
00-0024463	Ben Obomanu	WR	19	5.515789	4.482277
00-0022924	Ben Roethlisberger	QB	29	18.742069	8.482604
00-0027890	Ben Tate	RB	27	7.296296	6.905418
00-0022943	Benjamin Watson	TE	30	7.106667	4.664828
00-0025860	BenJarvus Green-Ellis	RB	32	10.665625	6.620593
00-0029795	Benny Cunningham	RB	1	0.000000	0.000000
00-0022807	Bernard Berrian	WR	3	5.366667	3.561211
00-0029264	Bernard Pierce	RB	16	4.568750	3.371891
00-0026941	Bernard Scott	RB	18	4.238889	3.376905
00-0028064	Bilal Powell	RB	17	6.641176	5.191855
00-0023679	Billy Bajema	TE	5	3.220000	0.861162
00-0020972	Billy Cundiff	K	21	0.000000	0.000000
00-0019041	Billy Volek	QB	2	-0.250000	0.050000
00-0027948	Blaine Gabbert	QB	26	9.572308	5.845511
00-0029576	Blair Walsh	K	17	0.000000	0.000000
00-0027477	Blair White	WR	7	0.000000	0.000000
00-0029384	Bobby Rainey	RB	1	0.000000	0.000000
00-0029315	Brad Smelley	TE	1	1.300000	0.000000
00-0024318	Brad Smith	WR	28	4.589286	4.915089
00-0029420	Bradie Ewing	RB	1	2.500000	0.000000
00-0025409	Brady Quinn	QB	10	4.824000	5.659970
00-0027618	Brandon Banks	WR	28	0.827143	1.720724
00-0029239	Brandon Bolden	RB	8	5.312500	6.600083
00-0026375	Brandon Coutu	K	1	0.000000	0.000000
00-0026937	Brandon Gibson	WR	27	9.314815	4.978525
00-0025450	Brandon Jackson	RB	2	4.700000	0.700000
00-0023545	Brandon Jacobs	RB	16	8.350000	6.530314
00-0027681	Brandon LaFell	WR	26	9.788462	5.319870
00-0022097	Brandon Lloyd	WR	31	12.441935	6.705019
00-0024334	Brandon Marshall	WR	33	18.081818	8.457683
00-0027135	Brandon Myers	TE	27	8.677778	7.707540
00-0026996	Brandon Pettigrew	TE	30	10.700000	5.797413
00-0028602	Brandon Saine	RB	5	4.760000	2.866077
00-0015754	Brandon Stokley	WR	16	8.656250	4.983343
00-0027057	Brandon Tate	WR	33	1.275758	3.295914
00-0029677	Brandon Weeden	QB	16	12.878750	7.201081
00-0023438	Braylon Edwards	WR	13	5.923077	2.855535
00-0025549	Brent Celek	TE	32	9.878125	6.356283
00-0026357	Brett Swain	WR	2	1.750000	0.150000
00-0027077	Brian Hartline	WR	30	10.316667	8.426272
00-0026625	Brian Hoyer	QB	4	4.095000	5.549691
00-0025439	Brian Leonard	RB	26	3.123077	2.660582
00-0029640	Brian Quick	WR	10	4.120000	3.186158
00-0027012	Brian Robiskie	WR	4	4.975000	3.811414
00-0030516	Brice Butler	WR	1	1.800000	0.000000
00-0026607	Brock Bolen	RB	4	1.000000	0.374166
00-0029682	Brock Osweiler	QB	5	-0.164000	0.118254
00-0027761	Brody Eldridge	TE	7	1.928571	0.694292
00-0024408	Bruce Gradkowski	QB	4	2.715000	4.226875
00-0027595	Bryan Walters	WR	3	1.900000	1.687207
00-0022156	Bryant Johnson	WR	4	5.275000	4.337842
00-0029429	Bryce Brown	RB	17	5.617647	9.646654
00-0022177	Byron Leftwich	QB	2	8.990000	6.070000
00-0027861	C.J. Spiller	RB	33	12.781818	9.114306
00-0023440	Cadillac Williams	RB	11	5.763636	5.036101
00-0025970	Caleb Hanie	QB	4	8.580000	7.864159
00-0030390	Caleb Sturgis	K	1	0.000000	0.000000
00-0025389	Calvin Johnson	WR	33	21.493939	9.638431
00-0027939	Cam Newton	QB	33	23.757576	9.722809
00-0026963	Cameron Morrah	TE	5	2.700000	1.426885
00-0027776	Carlton Mitchell	WR	2	3.050000	0.150000
00-0021429	Carson Palmer	QB	26	17.212308	8.144150
00-0028052	Cecil Shorts	WR	23	9.152174	8.068504
00-0023439	Cedric Benson	RB	20	10.820000	5.545593
00-0026932	Cedric Peerman	RB	13	3.907692	4.385546
00-0027188	Chad Hall	WR	6	2.050000	2.696139
00-0026197	Chad Henne	QB	15	13.701333	12.047365
00-0020397	Chad Johnson	WR	10	4.860000	2.649226
00-0025622	Chansi Stuckey	WR	3	1.966667	0.309121
00-0000865	Charlie Batch	QB	5	4.624000	5.711720
00-0024296	Charlie Whitehurst	QB	3	5.073333	5.339172
00-0026753	Charly Martin	WR	3	2.733333	0.713364
00-0027069	Chase Coffman	TE	1	2.100000	0.000000
00-0026544	Chase Daniel	QB	5	0.552000	0.813152
00-0027441	Chastin West	WR	7	5.900000	3.655915
00-0026353	Chauncey Washington	RB	1	3.200000	0.000000
00-0026366	Chaz Schilens	WR	20	6.450000	4.095058
00-0021314	Chester Taylor	RB	11	3.345455	2.072488
00-0022738	Chris Cooley	TE	5	3.320000	2.766514
00-0029614	Chris Givens	WR	14	9.692857	5.947084
00-0027419	Chris Gronkowski	RB	2	1.050000	1.050000
00-0027531	Chris Ivory	RB	13	6.315385	5.485484
00-0026164	Chris Johnson	RB	33	13.454545	7.054983
00-0027140	Chris Ogbonnaya	RB	23	5.356522	5.092264
00-0028905	Chris Owusu	WR	1	3.400000	0.000000
00-0029438	Chris Polk	RB	2	0.000000	0.000000
00-0029140	Chris Rainey	RB	16	2.512500	3.249591
00-0019709	Chris Redman	QB	4	1.230000	1.031649
00-0030404	Chris Thompson	RB	1	0.000000	0.000000
